IDENT,AREA,STRAT,HEN_LT20,HEN_GE20,HEN_OTH,HEN_TOT,EGG_LAID,EGG_SOLD,EGG_VALU,QR_REV,QR_EXP,QR_PROF
R055,93,2,0,165,0,165,77,75,94,2184,256,1928
R056,93,1,50,40,0,98,20,6,9,213,705,-492
R057,93,3,185,150,0,335,56,54,81,2055,1459,596
R058,93,3,0,160,0,160,80,77,110,2666,485,2181
R059,93,3,0,195,30,225,80,77,98,2308,421,1887
R060,93,2,0,75,0,75,33,30,38,893,300,593
R061,93,2,100,90,0,190,50,47,59,1514,845,669
R062,93,2,0,100,0,100,35,34,46,1029,418,611
R063,93,2,0,100,0,100,56,1,1,27,569,-542
R064,93,3,0,200,25,225,105,100,150,3897,1201,2696
R065,93,3,0,85,0,85,24,26,34,731,265,466
R066,93,2,0,40,0,40,10,6,10,229,216,13
R067,93,3,25,70,0,95,35,28,46,971,702,269
R068,94,1,0,125,0,125,40,35,53,1138,880,258
R069,94,2,0,0,0,0,0,0,0,0,0,0
R070,94,3,0,175,0,175,60,60,84,1871,584,1287
R071,94,3,0,50,0,50,21,20,30,755,283,472
R072,94,1,0,150,0,150,65,60,90,2308,505,1803
R073,94,3,0,245,70,315,110,110,121,2934,1717,1217
R074,94,1,0,50,25,75,15,0,0,0,366,-366
R075,94,1,0,50,25,75,22,20,30,704,264,440
R076,94,3,3,250,0,,50,90,90,1738,0,1738
R077,94,4,0,6000,5700,11700,1500,1500,600,69985,67876,-59095
R078,94,3,0,225,25,250,75,75,112,2659,994,1665
R079,94,2,0,220,0,220,56,30,51,1198,977,221
R080,94,1,0,0,24,24,0,0,0,0,92,-92
R081,94,5,0,8500,0,8500,4230,4230,4400,101649,37732,63917
R082,94,2,100,150,0,250,45,45,58,1399,624,775
R083,94,3,0,175,60,235,85,82,103,2451,1329,1122
R084,94,5,0,7900,0,7900,3640,3640,3822,103082,23437,79645
R085,94,5,9970,12630,2880,25480,6195,6195,7446,180369,134438,45931
R086,94,5,0,0,0,0,0,0,0,0,0,0
R087,94,7,0,54700,34000,88700,19210,19210,17300,317197,357110,-39913
R088,94,1,0,25,0,25,8,0,0,0,184,-184
R089,94,1,0,50,0,50,24,22,31,617,357,260
R090,94,1,0,30,0,30,12,0,0,0,72,-72
R091,94,1,60,55,0,115,21,18,25,610,789,-179
R092,94,2,-1,-1,-1,-1,-1,-1,-1,-25,-3,-22
R093,94,3,200,150,5,355,65,50,63,1365,2086,-1026
R094,94,3,0,250,0,250,105,103,144,3088,1577,1653
R095,94,2,0,60,0,60,23,21,32,816,381,435
R096,94,4,0,2800,2000,4800,1545,1545,1622,43323,29626,13697
R097,94,7,0,38000,0,38000,16800,16800,17136,395395,318503,76892
R098,94,5,0,43500,13600,57100,20000,20000,20000,423091,437048,-13957
R099,94,7,14000,34000,800,48800,15750,15750,16225,440348,313547,126775
R100,94,3,10,250,11,271,115,115,161,3748,1563,2185
R101,94,5,9000,7500,12100,25600,2680,2680,8000,185277,174006,11271
R102,94,4,0,7500,0,7500,2575,2575,2630,49107,53196,-4089
R103,94,3,,200,,200,30,30,45,938,1621,-683
R104,94,1,40,40,0,80,15,10,15,379,458,-79
R105,94,2,0,130,0,130,40,40,40,749,439,310
R106,94,2,50,150,12,212,52,50,84,2062,1642,420
R107,94,6,0,28400,0,28400,14100,14100,14664,366614,144400,222214
R108,94,6,6600,26000,9000,41600,12250,12250,12250,266556,131435,135121
R109,94,6,0,0,22000,22000,0,0,0,0,90377,-90377
R110,94,4,0,4929,0,4929,2457,2457,2457,48230,10525,43413
R111,94,3,0,250,140,390,120,120,180,4485,2256,2229
R112,94,1,0,15,0,15,7,0,0,0,48,-48
R113,94,6,0,23800,11600,35400,10938,10938,11249,243958,117437,126521
R114,94,7,9000,36348,7888,53236,14000,0,0,0,392290,-392290
R115,94,7,0,47000,0,47000,22050,22050,26500,549236,172953,376283
R116,94,7,20000,42000,0,62000,19950,19950,21150,502434,91451,405345
R117,94,2,0,190,0,190,90,90,112,2578,670,1908
R118,94,4,1700,3700,0,5400,1500,1500,2400,60804,28653,30683
R119,94,4,0,2200,0,2200,825,825,2195,52191,14983,37208
R120,94,1,0,110,0,110,38,35,56,1175,542,633
R121,94,3,0,250,0,250,120,120,150,3546,886,2299
R122,94,6,0,22000,8000,30000,9000,8500,8075,194524,111765,119472
R123,94,5,0,11400,2700,14100,5220,5220,5220,101009,33287,54440
R124,94,8,0,262500,65000,327500,122500,122500,112700,2513036,1414462,1098574
R125,94,4,0,700,600,1300,320,320,320,7746,8975,-1229
R126,94,3,250,500,0,750,245,245,318,7067,4702,2365
R127,94,2,0,150,140,330,70,70,95,2131,1903,228
R128,94,1,0,10,0,10,4,0,0,0,54,-54
R129,94,5,0,8900,4200,13100,2766,2766,3595,71576,37213,34363
R130,94,1,0,25,0,25,12,0,0,0,140,-140
R131,94,3,60,110,0,170,40,40,50,1200,853,347
R132,94,8,0,78110,36823,-38250,38250,38250,32813,694261,-185331,879592
R133,94,5,0,15173,0,15173,6180,6180,8358,182697,91655,91042
R134,94,2,0,110,0,110,50,48,70,1597,307,1290
R135,94,7,23700,43500,13727,80927,18900,18900,25893,601989,175109,426880
R136,94,3,0,40,0,40,15,14,21,428,132,296
R137,94,2,0,200,,,80,80,210,10355,1201,4912
R138,94,1,0,60,30,90,25,23,40,1016,244,772
R139,94,2,0,38,0,38,15,10,15,367,193,174
R140,94,3,10,60,5,75,25,25,38,924,130,794
R141,94,2,10,80,17,78,35,25,50,1248,528,720
R142,94,8,67000,122000,45000,234000,46250,46250,126500,3030416,1333900,1696516
R143,94,1,700,55,0,755,25,22,33,778,5931,-5153
R144,94,2,0,45,0,45,15,13,26,626,367,259
R145,94,2,0,50,25,75,15,5,8,189,171,18
R146,94,2,0,100,10,98,52,50,60,1406,218,1188
R147,94,3,260,210,40,510,100,100,130,2974,3408,-434
R148,94,6,11000,22000,10700,43700,10500,10500,12075,312410,171484,140926
R149,94,5,0,11600,0,11630,4725,4725,1420,105598,75601,29997
R150,94,1,18,40,0,58,15,15,23,555,420,135
R151,94,1,0,25,0,25,7,5,8,201,139,62
R152,94,1,0,6,6,16,2,0,0,0,30,-30
R153,94,1,-1,299,-1,325,70,67,100,2333,485,1848
R154,94,2,0,20,0,20,7,0,0,0,53,-53
R155,94,2,0,20,0,20,8,0,0,0,69,-69
R156,94,3,3,290,20,300,90,90,126,3111,2358,753
R157,94,9,0,100128,0,100128,46739,45290,45290,1023977,422354,601623
R158,94,9,0,83107,16858,99965,20973,20973,54364,1207131,745477,461654
R159,94,9,0,14448,0,14448,7200,7200,18523,416704,65666,351038
R160,94,9,28175,30875,13300,72350,7770,7770,20202,473186,108002,365184
R161,94,9,10000,150000,30000,190000,60000,60000,60000,1432196,279729,1152467
R162,94,6,-1,-1,-1,42500,15500,-1,-1,-25,117011,196150
